BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
123500,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123501,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123502,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123503,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123504,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123505,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123506,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123507,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123508,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123509,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123510,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123511,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123512,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123513,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123514,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123515,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123516,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123517,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123518,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123519,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123520,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123521,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123522,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123523,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123524,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123525,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123526,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123527,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123528,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123529,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123530,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123531,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123532,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123533,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123534,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123535,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123536,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123537,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123538,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123539,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123540,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123541,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123542,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123543,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123544,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123545,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123546,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123547,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123548,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123549,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123550,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
